segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,mid_lat,mid_long,frame_segments_within_radius
7,27553031,Gariahat Road,primary,22.5433189,88.3661202,22.5429392,88.3661252,22.543129049999997,88.3661227,69
12,27553096,Beckbagan Row,residential,22.5363621,88.3731193,22.5374075,88.3691604,22.536884800000003,88.37113984999999,75
63,35873223,Gobindapur Road,residential,22.5042179,88.3587387,22.5059977,88.359945,22.5051078,88.35934184999999,74
109,35875305,Kavi Barathi Road,residential,22.5159,88.3502624,22.5166592,88.3493277,22.516279599999997,88.34979505000001,65
147,51765559,,secondary,22.5307884,88.3725377,22.5354735,88.3730613,22.53313095,88.3727995,38
169,52088340,,secondary,22.587581,88.3502708,22.5872175,88.3517296,22.58739925,88.3510002,8
198,52097991,Diamond Harbour Road,trunk,22.5219608,88.3245221,22.5220796,88.324556,22.5220202,88.32453905,26
227,52152346,,secondary,22.5743213,88.3486312,22.572395,88.34795,22.57335815,88.3482906,29
276,52155752,Weston Street,residential,22.5701252,88.353143,22.5692463,88.3557716,22.569685749999998,88.3544573,40
281,52246256,,tertiary,22.572022,88.3907969,22.5711568,88.3958594,22.5715894,88.39332815,25
286,61009787,Raja Bajendra Narayan Street,tertiary,22.5855532,88.3581556,22.5861423,88.3556478,22.58584775,88.35690170000001,12
292,92642039,Vidyasagar Flyover,trunk,22.5523353,88.3325863,22.5487981,88.3310016,22.550566699999997,88.33179394999999,12
313,101741150,Nasiruddin Road,secondary,22.5407609,88.3682119,22.5411561,88.3655882,22.5409585,88.36690005,81
343,101741301,,residential,22.4998849,88.3555,22.4997654,88.3532472,22.49982515,88.3543736,85
361,101741381,Dr. Girinda Sekhar Bose Road,residential,22.5242832,88.375588,22.5267264,88.3759605,22.5255048,88.37577425,70
364,101741404,,residential,22.5395637,88.3652432,22.5405628,88.3644811,22.54006325,88.36486215,75
383,101741542,,residential,22.5037159,88.3551352,22.5036717,88.3558397,22.5036938,88.35548745,68
389,101741569,,residential,22.5038046,88.3608271,22.5037357,88.3585167,22.50377015,88.3596719,61
405,101741686,Ahiripukur Road,residential,22.5370096,88.359172,22.5372535,88.3631016,22.537131549999998,88.3611368,40
