segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,mid_lat,mid_long,frame_segments_within_radius
84,26683971,Varanasi Bypass Expressway,trunk,25.24868,82.9952435,25.2496985,83.000702,25.24918925,82.99797275,24
106,26684735,Varanasi Bypass Expressway,trunk,25.2712795,82.8852405,25.2714743,82.8845194,25.2713769,82.88487995,10
183,26688723,,residential,25.2769532,83.0078901,25.2766926,83.0090335,25.2768229,83.00846179999999,23
267,26690203,,unclassified,25.2520775,83.010396,25.254062,83.0091704,25.25306975,83.0097832,17
345,26692079,,residential,25.2809085,82.9623916,25.2854331,82.9611815,25.2831708,82.96178655,18
497,26713097,panchkosi rd,residential,25.3557232,82.9570077,25.3556298,82.9620069,25.3556765,82.95950730000001,33
534,26714533,,residential,25.2692845,82.9568149,25.2713454,82.956859,25.27031495,82.95683695,44
542,26714648,,residential,25.2705137,82.9589781,25.2718562,82.9590676,25.27118495,82.95902285,51
731,26732125,,residential,25.2893467,83.0016276,25.2895817,82.9991534,25.289464199999998,83.00039050000001,39
1069,26737459,,residential,25.2959044,82.9899479,25.2955688,82.9913164,25.2957366,82.99063215000001,41
1165,26751867,,residential,25.329528,82.9962604,25.3304328,82.9947504,25.3299804,82.9955054,45
1242,26753437,,residential,25.315791,82.9780442,25.3150107,82.9752123,25.31540085,82.97662825,34
1324,26754738,,trunk,25.3787372,82.9943959,25.3833984,82.9955976,25.3810678,82.99499675,17
1502,26778558,,tertiary,25.5141577,82.7623292,25.5137547,82.7674591,25.5139562,82.76489415,6
1679,26781558,,residential,25.35474,82.9553184,25.355916,82.9556934,25.355328,82.95550589999999,32
1712,26782519,,residential,25.3494782,82.9857546,25.3488866,82.9857524,25.3491824,82.9857535,17
1797,26783794,,residential,25.2870204,82.9858601,25.2867053,82.9884433,25.28686285,82.9871517,82
1956,26795596,,unclassified,25.3490083,83.1311734,25.3523639,83.1268345,25.3506861,83.12900395,2
2258,26938204,,residential,25.2806518,82.945924,25.2805522,82.947022,25.280602000000002,82.946473,40
2274,26938415,,residential,25.287337,82.9443916,25.2915567,82.9446801,25.28944685,82.94453585,27
2389,26950577,,residential,25.2713123,82.8955575,25.2721024,82.8952748,25.27170735,82.89541614999999,25
2433,26951125,,residential,25.2633574,82.9265767,25.2588482,82.9261427,25.2611028,82.9263597,18
2538,26953114,,residential,25.2682693,82.9558008,25.2693474,82.9558395,25.26880835,82.95582015,38
2579,26953549,,residential,25.2636895,82.9423748,25.2633267,82.9439388,25.263508100000003,82.9431568,31
2776,26963579,,residential,25.3015663,82.9810319,25.301855,82.9810772,25.30171065,82.98105455000001,56
2826,26964522,,residential,25.291113,82.987358,25.2932908,82.988165,25.292201900000002,82.9877615,29
3032,26966917,,residential,25.315942,83.0139616,25.3158435,83.0139461,25.31589275,83.01395385000001,46
3141,26974099,,residential,25.3275633,83.0004756,25.3270091,83.0053675,25.327286200000003,83.00292155,50
3178,26974228,,residential,25.3293715,83.0073575,25.3289017,83.0118443,25.3291366,83.00960090000001,39
3455,27138890,,residential,25.2609025,83.0283446,25.2614673,83.0292995,25.2611849,83.02882205,15
3514,28420694,,tertiary,25.4196933,82.912089,25.4203509,82.9070914,25.420022099999997,82.9095902,10
3536,28421039,,unclassified,25.4766706,82.879661,25.4734788,82.8794403,25.4750747,82.87955065,5
3581,28476614,,residential,25.4147372,82.9041526,25.4154151,82.8994554,25.41507615,82.901804,16
3866,28497723,,residential,25.3578917,82.9377093,25.3586851,82.93351,25.3582884,82.93560965,14
3907,28498176,,residential,25.3383976,82.9492382,25.3415994,82.950563,25.3399985,82.9499006,11
4035,28699676,,unclassified,25.2249354,82.9717152,25.2258551,82.9667169,25.22539525,82.96921605,9
4103,28730547,,tertiary,25.3168728,82.7998792,25.3208799,82.8018636,25.31887635,82.8008714,15
4111,28730616,,tertiary,25.288664,82.7993122,25.2926579,82.8013504,25.29066095,82.80033130000001,15
4181,28731799,,unclassified,25.2861686,82.8672532,25.2900613,82.8715183,25.28811495,82.86938574999999,7
4201,28732070,,unclassified,25.3122613,82.8557526,25.3167757,82.8561514,25.3145185,82.855952,15
4212,28732187,Panchkroshi Road,tertiary,25.2485515,82.8486558,25.2513371,82.8507004,25.249944300000003,82.8496781,11
4469,28735801,,primary,25.3983987,82.7810289,25.3998416,82.7855189,25.39912015,82.7832739,11
4476,28735803,,primary,25.4204227,82.8089614,25.4173763,82.8056462,25.418899500000002,82.8073038,4
4501,28750068,,unclassified,25.2376468,82.9009366,25.2369772,82.9049684,25.237312,82.9029525,10
5100,323064109,,residential,25.2841124,82.9957368,25.2839925,82.9958436,25.28405245,82.9957902,62
5216,443016296,,residential,25.2747643,83.0245178,25.2759345,83.024843,25.275349400000003,83.0246804,26
