segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,mid_lat,mid_long,frame_segments_within_radius
13698,1079369737,,residential,28.6017567,76.9617192,28.6018041,76.962759,28.6017804,76.9622391,62
13855,1079406343,,residential,28.6341928,76.9689228,28.6346336,76.968916,28.6344132,76.9689194,33
14288,1079983394,,residential,28.5871819,77.0307194,28.5868485,77.0311091,28.5870152,77.03091425,52
14698,1081311093,,residential,28.6071027,77.0241447,28.6071033,77.0246244,28.607103,77.02438455,129
14768,1081314866,,residential,28.6088098,77.025797,28.6085187,77.0257857,28.60866425,77.02579134999999,128
15975,1082004726,,residential,28.6097398,77.0637421,28.6093852,77.0638669,28.6095625,77.0638045,80
16066,1082029288,,residential,28.6359515,77.0421976,28.635941,77.0431932,28.63594625,77.0426954,87
16829,1082257828,,residential,28.6055626,76.9917276,28.6061586,76.9929092,28.6058606,76.9923184,86
17084,1118476984,,tertiary,28.5954326,77.0089375,28.6007171,77.0090116,28.59807485,77.00897455,75
18384,1213020731,,residential,28.6011397,76.9822479,28.6018067,76.9826114,28.6014732,76.98242965,53
18954,1242776494,,residential,28.6291456,77.0026744,28.6294116,77.0029401,28.6292786,77.00280725,61
19748,1274790488,,primary,28.5354541,76.9095115,28.5355169,76.9095452,28.5354855,76.90952834999999,5
20166,1309603948,,residential,28.635592,77.0272295,28.6355999,77.0276721,28.63559595,77.0274508,69
20340,1311727927,,residential,28.5991076,76.9982746,28.5985647,76.9982634,28.59883615,76.998269,42
20382,1311962204,,residential,28.6125333,77.0306126,28.6122709,77.0306176,28.612402099999997,77.0306151,60
20418,1312742776,,residential,28.6411131,77.0676363,28.641089,77.0678591,28.64110105,77.06774770000001,81
20512,1381137040,,residential,28.5941508,77.0511547,28.5942462,77.0510308,28.5941985,77.05109275000001,42
21372,24676573,Govind Lal Sikka Marg,tertiary,28.6460807,77.1769287,28.64716,77.1815629,28.64662035,77.1792458,41
21568,29534879,Aurobindo Marg,trunk,28.5537429,77.2052988,28.5582102,77.2067237,28.55597655,77.20601124999999,52
21846,38235325,Tilak Gali,residential,28.643877,77.2107027,28.6429672,77.2161447,28.643422100000002,77.21342369999999,38
22839,76977605,,residential,28.6223025,77.3041118,28.6216868,77.3052552,28.621994649999998,77.30468350000001,54
23933,89898814,,residential,28.5401513,77.2427587,28.5405269,77.2436388,28.5403391,77.24319875,63
25138,170938239,,tertiary,28.6261245,77.3130596,28.6272898,77.3164578,28.62670715,77.3147587,32
25479,176492661,Lala Lajpat Rai Path,secondary,28.5970563,77.2408412,28.5954457,77.2405059,28.596251,77.24067355,17
25645,188616180,,residential,28.4926269,77.2962203,28.4919966,77.2957872,28.49231175,77.29600375000001,55
26295,191221676,,residential,28.4983322,77.3102799,28.4982156,77.3143426,28.4982739,77.31231125,46
26599,231621075,Sri Krishna Chaitanya Mahaprabhu Marg,tertiary,28.5496101,77.2059461,28.5452695,77.207045,28.5474398,77.20649555,37
26681,235103567,,residential,28.6204548,77.1154618,28.6172507,77.1164283,28.618852750000002,77.11594505,50
26802,243326083,,residential,28.4938291,77.1317402,28.4937572,77.1365279,28.493793150000002,77.13413405,15
27837,311784300,Rotary 14,secondary,28.5970737,77.2205901,28.5970098,77.2203306,28.59704175,77.22046035,35
28206,370186405,,residential,28.6055617,77.0952782,28.6056795,77.0953889,28.6056206,77.09533354999999,102
28506,383036386,,residential,28.5789951,77.1067801,28.5818639,77.1087915,28.5804295,77.10778579999999,14
28654,403451686,,residential,28.4770297,77.2069963,28.4776724,77.2076433,28.47735105,77.2073198,4
28835,404293380,,residential,28.496585,77.2474379,28.4949665,77.246705,28.49577575,77.24707144999999,89
29255,412036328,,residential,28.5161755,77.0896814,28.5158904,77.0918186,28.51603295,77.09075,5
29303,413252722,,residential,28.4911924,77.1082118,28.4910733,77.108549,28.49113285,77.1083804,16
29650,414795074,,residential,28.4696708,77.1329424,28.469606,77.1340663,28.4696384,77.13350435000001,36
29810,415527139,,residential,28.513564,77.1172492,28.5138547,77.1163901,28.51370935,77.11681965,20
29955,416077562,,residential,28.4808257,77.1664613,28.4786589,77.1664721,28.479742299999998,77.1664667,20
30056,416835570,,unclassified,28.4786642,77.2082818,28.4825106,77.2088395,28.4805874,77.20856065,3
30189,421252305,,residential,28.6440986,77.2747738,28.6440315,77.2771608,28.644065050000002,77.2759673,82
30628,421427443,,residential,28.5467875,77.1308114,28.5459811,77.1309717,28.5463843,77.13089155,39
30742,421431562,,residential,28.6325894,77.2818077,28.6338025,77.2825737,28.63319595,77.2821907,122
30798,421435345,,residential,28.5386467,77.1264753,28.5401658,77.1265985,28.53940625,77.12653689999999,57
31088,421459109,,residential,28.4988383,77.251478,28.4980499,77.2529371,28.4984441,77.25220755000001,73
31235,421461415,,residential,28.6261702,77.3080349,28.6266041,77.3088269,28.62638715,77.30843089999999,46
33207,423535250,,residential,28.6049641,77.1009594,28.6054533,77.1038325,28.6052087,77.10239594999999,86
33281,423535328,,residential,28.6068744,77.0955012,28.6074155,77.0945273,28.60714495,77.09501424999999,100
33370,423537850,,residential,28.5645083,77.1589841,28.5649874,77.1599013,28.56474785,77.1594427,43
33385,423537874,,residential,28.5541648,77.1633748,28.5541648,77.1633748,28.5541648,77.1633748,48
33481,423557009,,residential,28.5646688,77.2670717,28.5654075,77.2679603,28.56503815,77.267516,39
33889,423618459,,residential,28.6410104,77.1798685,28.6413622,77.1802701,28.6411863,77.1800693,102
34368,423840385,,residential,28.5400591,77.1865177,28.5408102,77.1877887,28.54043465,77.1871532,37
34505,423863374,,residential,28.6370329,77.1845512,28.6367241,77.1851335,28.6368785,77.18484235,87
34577,424007922,,residential,28.5701533,77.2537938,28.5696141,77.2529058,28.5698837,77.2533498,53
34836,447141146,Rotary Number 45,secondary,28.6171987,77.2126653,28.6169761,77.2127407,28.6170874,77.212703,24
35103,532737417,Bhakti Vedant Swami Marg,secondary,28.5489589,77.2614159,28.5487078,77.2598777,28.54883335,77.2606468,26
35372,555465268,Patparganj Road,secondary,28.6173942,77.2875173,28.6168899,77.2878373,28.617142049999998,77.28767730000001,67
35640,563714769,,secondary,28.5318836,77.1947915,28.5318106,77.19493,28.5318471,77.19486075,33
35710,566009665,Anuvrat Marg,trunk,28.514914,77.1870394,28.5210608,77.1895078,28.517987400000003,77.1882736,2
36091,586684175,Abdul Gaffar Khan Marg,primary,28.5380573,77.1359993,28.5382582,77.1340585,28.53815775,77.1350289,27
36345,608375490,,residential,28.6344414,77.3036575,28.6348615,77.30399,28.63465145,77.30382374999999,66
36436,608989228,,secondary,28.54752,77.1253839,28.547433,77.1252436,28.547476500000002,77.12531375,51
36648,631915989,,residential,28.5358915,77.2226298,28.5357695,77.2225561,28.535830500000003,77.22259295,41
37227,681819876,,residential,28.6235529,77.1386439,28.626679,77.1392715,28.62511595,77.1389577,41
37608,686641739,,residential,28.6012343,77.2412213,28.6012394,77.2416456,28.60123685,77.24143345,36
39177,709849960,,residential,28.6194197,77.0860409,28.6213626,77.0860054,28.620391150000003,77.08602315,63
