segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,mid_lat,mid_long,frame_segments_within_radius
1891,160003778,,unclassified,26.9896963,75.3797244,26.9938528,75.3782337,26.99177455,75.37897905,1
2167,160089337,,secondary,26.8878868,75.5415429,26.8833906,75.5431264,26.8856387,75.54233465,5
2254,160118912,Sirsi Road,secondary,26.8748327,75.5534452,26.8735415,75.5499014,26.8741871,75.5516733,6
2345,160144115,,tertiary,26.9658621,75.5737166,26.9690015,75.5757002,26.9674318,75.57470839999999,2
2458,160144164,,tertiary,26.7955136,75.213144,26.7979474,75.2197646,26.796730500000002,75.21645430000001,1
2724,166319175,,primary,27.2080419,75.8226753,27.2126168,75.8257973,27.210329350000002,75.8242363,1
2768,166360222,,tertiary,27.8241146,76.2105167,27.8216664,76.2132677,27.8228905,76.2118922,1
3274,176919145,,primary,27.1698097,75.7250412,27.1727357,75.7290601,27.1712727,75.72705065,25
3417,176934180,,unclassified,27.6633637,76.0000539,27.6658353,75.9966887,27.6645995,75.9983713,1
3679,178201959,,primary,26.8607976,75.1951003,26.8657337,75.1950639,26.863265650000002,75.1950821,1
3725,178211468,,primary,26.982302,75.4819469,26.9818785,75.4750335,26.98209025,75.4784902,2
3818,178330900,,trunk,27.4320048,76.1738098,27.4319696,76.17021,27.431987200000002,76.1720099,2
4498,187026982,,unclassified,26.6333919,75.7182299,26.633781,75.7130281,26.63358645,75.715629,1
4513,187026986,,unclassified,26.6412065,75.6504818,26.6460774,75.6471061,26.64364195,75.64879395,1
5859,187196448,,unclassified,26.5810059,76.1157368,26.5764206,76.1139805,26.57871325,76.11485865,1
6012,187280044,,unclassified,26.7041059,76.0805782,26.7083194,76.0808133,26.706212649999998,76.08069575,1
6142,188076579,,unclassified,27.2956424,75.4408707,27.2999579,75.4409051,27.29780015,75.4408879,1
6266,188089101,,unclassified,27.194901,75.4176944,27.1910418,75.4160898,27.1929714,75.4168921,1
6687,188198676,,tertiary,26.9028957,75.9794226,26.9065932,75.9764961,26.90474445,75.97795935,11
6783,188198724,,tertiary,27.0761975,75.982765,27.0777886,75.9882043,27.07699305,75.98548465,2
7394,204666745,,unclassified,26.724441,75.5235372,26.723395,75.5302167,26.723917999999998,75.52687695,1
7484,204831609,,tertiary,27.5806743,76.2027114,27.5811355,76.1971667,27.5809049,76.19993905,2
7551,204940271,,secondary,27.1902209,75.6284788,27.1858071,75.6295127,27.188014000000003,75.62899575,3
7951,229989954,,tertiary,27.1452413,76.1050883,27.1487978,76.1096735,27.14701955,76.10738090000001,1
8347,230826824,,residential,26.8889665,75.7980789,26.8891001,75.7976015,26.8890333,75.7978402,63
8375,230843926,,tertiary,26.956513,75.7777466,26.9603581,75.7804903,26.95843555,75.77911845,32
8541,231074798,,tertiary,27.3665598,75.9538075,27.3622425,75.9548462,27.36440115,75.95432685,6
8629,231076810,,secondary,27.6980227,76.0633207,27.7025803,76.0676284,27.700301500000002,76.06547455,1
8636,231076810,,secondary,27.7190109,76.0943223,27.721035,76.0990882,27.72002295,76.09670525,1
8770,231937410,,tertiary,27.1974061,75.7208446,27.1966013,75.7256377,27.1970037,75.72324115,2
8875,232923878,,tertiary,27.5722616,76.155076,27.5702909,76.1602542,27.57127625,76.1576651,2
8922,232926543,,tertiary,27.3304317,76.0698347,27.3332997,76.0659544,27.3318657,76.06789455,1
9163,237966240,Arya College Road,tertiary,27.0339582,75.8878382,27.0311934,75.8917728,27.0325758,75.8898055,6
9201,240397768,,trunk,27.3067653,75.6161851,27.301718,75.617562,27.30424165,75.61687355000001,2
9397,263194164,Benad Road,secondary,27.0487491,75.5845106,27.0524231,75.5804659,27.050586099999997,75.58248825,1
9505,263930278,Jan Path,tertiary,26.8873771,75.748293,26.8851319,75.7422238,26.8862545,75.74525840000001,45
9675,278889024,,tertiary,27.0046601,75.6582723,27.0079685,75.6576153,27.0063143,75.6579438,5
9860,278894849,,residential,27.1470416,75.6148972,27.1507635,75.6157443,27.148902550000003,75.61532075,8
9949,282197173,,tertiary,27.0830157,75.7879364,27.0848122,75.7940803,27.08391395,75.79100835,3
10003,285541760,,secondary,27.5590332,76.0819465,27.5581976,76.087049,27.5586154,76.08449775,2
10125,328136449,,residential,26.9305909,75.8279923,26.9283794,75.827403,26.929485149999998,75.82769765,32
10387,361482591,,residential,26.9034024,75.7452771,26.9033405,75.7446705,26.90337145,75.7449738,33
10454,361482688,,residential,26.9084224,75.74458,26.9083497,75.7438874,26.908386049999997,75.7442337,76
10610,361482893,,residential,26.9045481,75.7373202,26.9045806,75.7384819,26.90456435,75.73790105,40
11412,374452595,,residential,27.0006374,75.7990253,27.0002284,75.798917,27.0004329,75.79897115,72
11429,374452606,,tertiary,27.0237893,75.816,27.021866,75.8127846,27.02282765,75.81439230000001,16
11601,374452772,,residential,27.0154071,75.7839735,27.0137321,75.7843605,27.0145696,75.784167,26
11686,374524897,,residential,26.8610498,75.7562325,26.8617893,75.7563812,26.86141955,75.75630685,85
11784,374530072,,residential,26.858458,75.7516528,26.8605884,75.7506868,26.859523199999998,75.7511698,57
11967,374551570,,residential,26.9143115,75.7426101,26.9137118,75.7426409,26.91401165,75.7426255,59
12104,374555576,,residential,26.8507293,75.8222623,26.8499526,75.823601,26.850340950000003,75.82293165,59
12405,374574244,,residential,26.9104692,75.7222561,26.9104687,75.7229734,26.910468950000002,75.72261474999999,73
12684,374675202,,residential,26.923934,75.7794134,26.9223687,75.7814605,26.923151349999998,75.78043695,41
12778,374675314,,residential,26.9305916,75.7652202,26.9298471,75.7671586,26.93021935,75.7661894,14
13044,374698811,,residential,26.8832224,75.7542194,26.8836884,75.7540845,26.883455400000003,75.75415195,54
13085,374698855,Ganesh Mandir Path,residential,26.8851329,75.7519175,26.8854783,75.7533213,26.8853056,75.7526194,53
13190,374717306,,residential,26.8908255,75.7497717,26.8938161,75.7471918,26.8923208,75.74848175,47
13585,374904469,,residential,26.980343,75.7679582,26.9805591,75.7683933,26.98045105,75.76817575,82
13656,374905913,,residential,26.9736445,75.7688069,26.9745967,75.768877,26.9741206,75.76884195,68
13790,374907602,,residential,26.8864436,75.785994,26.886617,75.7864587,26.8865303,75.78622634999999,69
13998,374912171,,residential,26.8977522,75.79334,26.8963615,75.7922832,26.89705685,75.7928116,35
14054,374912543,,residential,26.9631829,75.7687725,26.9631076,75.7702128,26.96314525,75.76949264999999,51
15318,375043501,,residential,26.830109,75.7281256,26.8309793,75.7283351,26.83054415,75.72823034999999,23
16715,375111018,,residential,26.8573603,75.8210216,26.8558424,75.8205104,26.85660135,75.82076599999999,68
16944,375201446,,residential,26.877414,75.794085,26.8772947,75.7946635,26.87735435,75.79437425,62
16959,375201461,,residential,26.8732201,75.7837896,26.8720806,75.7836515,26.87265035,75.78372055,62
16977,375201479,,residential,26.8734063,75.7895125,26.8728771,75.7895033,26.873141699999998,75.7895079,48
17344,375206424,,residential,26.877526,75.7692803,26.8757,75.769116,26.876613,75.76919815,46
17475,375249903,,residential,26.8473749,75.8128629,26.8480156,75.8138835,26.84769525,75.8133732,74
17945,375342478,Arvind Marg,residential,26.8792471,75.7766361,26.8778379,75.7803566,26.878542500000002,75.77849635000001,42
18144,375377476,,residential,26.8554601,75.8118827,26.8571412,75.8132241,26.85630065,75.8125534,43
18544,375410511,,residential,26.8520707,75.7884599,26.8521244,75.7876938,26.85209755,75.78807685000001,50
