segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,mid_lat,mid_long,frame_segments_within_radius
59,22965414,Evening Bazaar Road,secondary,13.0837083,80.2790854,13.0858803,80.2808012,13.084794299999999,80.2799433,15
78,22977106,Anna Salai (Mount Road),primary,13.0534712,80.2524552,13.0564248,80.2564103,13.054948,80.25443275,37
263,23135451,1st Main Road,residential,13.0279725,80.2579145,13.0270672,80.2578915,13.027519850000001,80.257903,44
280,23135481,Periyar Road,residential,13.0373377,80.248782,13.0378968,80.2488517,13.03761725,80.24881685,31
290,23135500,Masilamani Lane,residential,13.0347232,80.2501911,13.034662,80.2506795,13.0346926,80.25043529999999,40
312,23135650,Ananda Street,residential,13.0334755,80.2547886,13.03504,80.2548938,13.03425775,80.2548412,45
315,23135804,Avvai Shanmugam Salai,tertiary,13.0475239,80.268773,13.0470312,80.2739925,13.04727755,80.27138275,42
355,23163913,Varadarajan Street,residential,13.0327787,80.2266144,13.0324687,80.2288777,13.0326237,80.22774605000001,27
367,23163955,Chari Street,residential,13.0484926,80.2305005,13.0482175,80.2331706,13.04835505,80.23183555,44
469,23186313,,residential,13.056928,80.2382499,13.0580908,80.238272,13.0575094,80.23826095,38
758,23698633,Kamarajar Salai,tertiary,13.0400332,80.2087228,13.0442281,80.2093191,13.04213065,80.20902095,49
905,23887916,,residential,13.0825038,80.2700291,13.0818762,80.2700031,13.08219,80.27001609999999,51
925,23887985,Mannady Street,tertiary,13.0968603,80.2865192,13.0963592,80.2895586,13.096609749999999,80.2880389,28
989,23892862,Pulianthope High Road,secondary,13.0992833,80.2621191,13.0998533,80.2598315,13.0995683,80.26097530000001,40
1053,23901258,Swaminathan Street,residential,13.0591305,80.272662,13.0577049,80.2725041,13.0584177,80.27258305000001,44
1177,23953261,Poonuswamy Street,residential,13.0536644,80.2613712,13.0523531,80.2611886,13.05300875,80.2612799,44
1200,23954892,Masilamani Road,residential,13.0517741,80.2664256,13.0480034,80.2660348,13.049888750000001,80.2662302,43
1238,23962572,Balaji Nagar 2nd Street,residential,13.0510408,80.2693244,13.0512559,80.2664011,13.05114835,80.26786275,42
1317,23970162,17th Street,residential,13.0895333,80.2241916,13.0915641,80.2242731,13.0905487,80.22423235,45
1358,24240062,,residential,13.0932672,80.2177597,13.0932809,80.2170679,13.09327405,80.2174138,48
1405,24260581,,residential,13.0500142,80.2752249,13.0488887,80.2751082,13.04945145,80.27516655,48
1422,24261526,,residential,13.048402,80.274595,13.0482012,80.2762332,13.048301599999999,80.2754141,50
1480,24270402,,residential,13.0365602,80.2744199,13.0372801,80.2746099,13.03692015,80.2745149,51
1508,24270447,,residential,13.0327626,80.2670704,13.0336451,80.2672747,13.03320385,80.26717255,31
1518,24270457,,residential,13.0299765,80.2779706,13.0288985,80.2781753,13.0294375,80.27807295,40
1575,24338730,,residential,13.0239543,80.2747042,13.0228632,80.2768651,13.02340875,80.27578464999999,25
1695,24375504,Vaidyanathan Street,residential,13.0537415,80.2438699,13.0547949,80.2438102,13.0542682,80.24384005,36
2123,26396317,,residential,13.112823,80.2842874,13.1129361,80.2840062,13.11287955,80.2841468,27
2489,26619381,Gill Nagar 1st Street,residential,13.0658147,80.2226682,13.0652934,80.2253387,13.06555405,80.22400345,35
2499,26748474,Pulla Avenue,tertiary,13.0774518,80.2249753,13.0790088,80.2260003,13.078230300000001,80.2254878,27
2546,26748560,Nungambakkam Subway,secondary,13.0653109,80.234412,13.0658819,80.2332847,13.0655964,80.23384835,46
2557,26764010,UI Colony 3rd Main Road,residential,13.0518067,80.2255267,13.0506869,80.2252865,13.051246800000001,80.2254066,44
2588,26969665,9th Main Road,residential,13.0825653,80.209762,13.0791355,80.2096547,13.0808504,80.20970835,29
2665,26970003,,residential,13.0902526,80.202501,13.0903141,80.2011394,13.09028335,80.2018202,53
2737,27189818,2nd Cross Street,residential,13.0550361,80.2259104,13.0544432,80.2226088,13.05473965,80.22425960000001,31
2810,27189932,,residential,13.0304951,80.2273395,13.0313424,80.2274578,13.03091875,80.22739865,44
2856,27190018,,residential,13.0528275,80.2166142,13.0529893,80.2181053,13.0529084,80.21735975,37
2965,27312323,Vannanthurai street,residential,12.999286,80.2623996,12.9990774,80.2634183,12.9991817,80.26290895,36
2972,27319407,main road,residential,12.9720213,80.2115508,12.9717936,80.2093394,12.97190745,80.2104451,43
3128,27320351,,residential,12.9841463,80.2032564,12.9839602,80.2048945,12.98405325,80.20407545,54
3228,27343728,,residential,12.9807002,80.2102694,12.980704,80.2091812,12.980702099999998,80.2097253,64
3279,27344880,10th Street,residential,12.9899628,80.2118526,12.9910872,80.2121689,12.990525000000002,80.21201074999999,48
3392,27347346,3rd Street,residential,13.0444268,80.2034021,13.0453182,80.1988741,13.0448725,80.20113810000001,47
3513,27354144,,residential,12.9838112,80.2104087,12.9837709,80.2103069,12.98379105,80.2103578,57
3530,27354982,,residential,12.9813456,80.2237031,12.9814483,80.2253304,12.98139695,80.22451674999999,57
3751,27442373,69th cross Street,residential,12.9816484,80.2664318,12.9808825,80.2661965,12.981265449999999,80.26631415,34
3766,27442430,,residential,13.0142668,80.2217571,13.0127667,80.2217111,13.01351675,80.22173409999999,25
3780,27442470,Deiva Nambi Street,residential,13.0255946,80.2163633,13.0254704,80.2152597,13.0255325,80.2158115,65
3785,27442482,Ganesan Street,residential,13.0271562,80.210695,13.0261889,80.2100587,13.02667255,80.21037685,52
3824,27442619,Ramachandra Road,residential,12.9602969,80.2030446,12.9630709,80.2032627,12.9616839,80.20315364999999,59
3901,27454259,,residential,13.0576733,80.1991228,13.057731,80.1970854,13.05770215,80.1981041,48
3904,27454262,Rajaji Colony,residential,13.054907,80.199884,13.0549215,80.197027,13.05491425,80.1984555,36
