segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,mid_lat,mid_long,frame_segments_within_radius
105,23056401,,residential,12.9294022,77.5134812,12.9294501,77.510969,12.929426150000001,77.5122251,71
326,23118388,8th Main Road,tertiary,12.9478655,77.5548519,12.9504418,77.5555471,12.94915365,77.5551995,62
818,27931318,5th Cross Road,residential,12.9295642,77.6291916,12.9291048,77.6312233,12.9293345,77.63020745,46
2017,32258464,28th Main Road,residential,12.9122907,77.5827371,12.9111113,77.5826997,12.911701,77.5827184,35
2406,35192864,,residential,13.0507621,77.6385517,13.0513969,77.6348217,13.0510795,77.6366867,69
3463,37723468,,residential,13.0060044,77.6803233,13.0089435,77.6822421,13.007473950000001,77.6812827,16
3502,37723516,Basavanapura Main Road,tertiary,13.0103479,77.7038532,13.009649,77.6993169,13.00999845,77.70158505,108
4329,38755750,,tertiary,12.830318,77.6640362,12.832337,77.6599038,12.8313275,77.66197,40
4545,38772806,6th Cross Road,residential,12.9641895,77.6161064,12.9660376,77.6155015,12.96511355,77.61580395,35
4757,38872941,13th Main Road,residential,12.9914414,77.5922065,12.990821,77.5935313,12.9911312,77.5928689,45
5463,41192803,16th Main Road,residential,12.9263493,77.5668703,12.9285862,77.5674715,12.92746775,77.56717090000001,62
5862,41966170,,residential,13.0360175,77.532477,13.0363351,77.5334511,13.036176300000001,77.53296405,35
6347,42397798,,residential,13.0386536,77.581563,13.0378883,77.5814003,13.038270950000001,77.58148165,30
6511,43263067,,tertiary,13.0908417,77.6590306,13.0888842,77.6634495,13.08986295,77.66124005,13
7346,46648013,,residential,13.0224067,77.651835,13.0239247,77.6525237,13.0231657,77.65217935000001,81
7550,46951393,,residential,13.0318283,77.5004224,13.0307692,77.5001857,13.031298750000001,77.50030405000001,58
8119,50817753,,tertiary,13.1300719,77.571417,13.13127,77.5757269,13.13067095,77.57357195,30
8673,55684008,,residential,12.9412213,77.5213077,12.9412479,77.524563,12.941234600000001,77.52293535,39
