segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,mid_lat,mid_long,frame_segments_within_radius
212,23110075,2nd Canal Cross Street,residential,13.0091332,80.248722,13.0090432,80.2502629,13.0090882,80.24949244999999,65
819,23803354,Chandra Yogi Samadhi Road,residential,13.0949043,80.2467388,13.0951437,80.247573,13.095023999999999,80.2471559,105
869,23839277,,residential,13.0376928,80.2475379,13.0380123,80.2474972,13.03785255,80.24751755,117
976,23892849,Ironmonger Street,residential,13.0991602,80.2766859,13.0998305,80.2766854,13.09949535,80.27668565,85
1041,23901240,,residential,13.061655,80.2658088,13.0608999,80.2674756,13.06127745,80.2666422,109
1423,24261530,Narasimha Lala Lane,residential,13.0523398,80.2750882,13.0532092,80.2753398,13.0527745,80.275214,132
1501,24270440,Lein Perira Street,residential,13.0302132,80.2768724,13.0300757,80.2779539,13.03014445,80.27741315,81
2279,26399070,,residential,13.1151897,80.2960625,13.1150622,80.2964788,13.11512595,80.29627065,57
2582,26969661,5th street,residential,13.0814572,80.2177955,13.0816977,80.2122907,13.08157745,80.2150431,101
2614,26969692,,residential,13.0798497,80.2053363,13.0800532,80.2006731,13.07995145,80.20300470000001,78
2848,27190005,Rajagopalan Street,residential,13.0393712,80.2232105,13.0412961,80.2237465,13.04033365,80.2234785,80
3039,27319952,,residential,12.9968018,80.2075807,12.9935527,80.2068043,12.995177250000001,80.20719249999999,129
3070,27320009,,residential,12.984469,80.2076556,12.9862222,80.2078561,12.9853456,80.20775585,124
3169,27342776,,residential,12.994536,80.2083084,12.9947933,80.2071232,12.99466465,80.2077158,142
3309,27346860,46th Street,residential,13.036725,80.2156581,13.0368033,80.2135416,13.03676415,80.21459985,113
3349,27346918,Dhanalakshmi Colony 1st Street,residential,13.0537658,80.2060402,13.0537859,80.2047334,13.053775850000001,80.2053868,129
3358,27346928,Nerkundrampadai Road (West),tertiary,13.0547414,80.2092553,13.0545709,80.2110725,13.05465615,80.2101639,119
