group,count,n,p,ci_low,ci_high
regional,100,3447,0.029011,0.023911,0.035159
surname_title,61,3447,0.017697,0.013802,0.022665
upper_caste,8,3447,0.002321,0.001176,0.004573
merchant_community,7,3447,0.002031,0.000984,0.004186
