group,count,n,p,ci_low,ci_high
regional,113,4962,0.022773,0.018977,0.027308
surname_title,23,4962,0.004635,0.003091,0.006946
merchant_community,23,4962,0.004635,0.003091,0.006946
upper_caste,7,4962,0.001411,0.000684,0.002909
