group,count,n,p,ci_low,ci_high
regional,402,14907,0.026967,0.024486,0.029692
surname_title,105,14907,0.007044,0.005822,0.008519
upper_caste,52,14907,0.003488,0.002661,0.004571
merchant_community,36,14907,0.002415,0.001745,0.003341
