label,count
Other languages,29
Gupta,15
Jain,8
Iyer (Tamil Brahmin),7
Udupi cuisine,5
Naidu,4
Reddy,1
Bhat/Bhatt,1
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,1
