label,count
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,27
Other languages,10
Agarwal/Agrawal,7
Jain,5
Marwari,3
Gupta,2
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),2
Rao,1
Naik/Nayak,1
