region,group,n,flagged,confirmed,fp_rate,p,ci_low,ci_high
blr,merchant_community,7770,10,10,0.0,0.001287,0.000699,0.002368
blr,regional,7770,298,287,0.0369,0.036937,0.032967,0.041365
blr,surname_title,7770,87,87,0.0,0.011197,0.009087,0.013790
blr,upper_caste,7770,31,31,0.0,0.003990,0.002812,0.005657
blr,fn_rate_sampled,494,494,1,,0.002024,0.000357,0.011376
blr,any_coded_corrected,7770,,414,,0.055195,,
maa,merchant_community,4962,23,23,0.0,0.004635,0.003091,0.006946
maa,regional,4962,113,109,0.0354,0.021967,0.018243,0.026430
maa,surname_title,4962,23,23,0.0,0.004635,0.003091,0.006946
maa,upper_caste,4962,7,7,0.0,0.001411,0.000684,0.002909
maa,fn_rate_sampled,489,489,5,,0.010225,0.004375,0.023710
maa,any_coded_corrected,4962,,159,,0.041933,,
mys,merchant_community,2175,5,5,0.0,0.002299,0.000982,0.005370
mys,regional,2175,145,98,0.3241,0.045057,0.037113,0.054606
mys,surname_title,2175,20,20,0.0,0.009195,0.005960,0.014161
mys,upper_caste,2175,14,14,0.0,0.006437,0.003838,0.010776
mys,fn_rate_sampled,497,497,4,,0.008048,0.003134,0.020509
mys,any_coded_corrected,2175,,134,,0.068991,,
