group,n,n_points,p_unweighted,ci_low,ci_high,p_weighted,w_ci_low,w_ci_high
any,5025,379,0.030448,0.025075,0.036263,0.030034,0.024390,0.036252
merchant_community,5025,379,0.001791,0.000781,0.003019,0.001778,0.000715,0.003020
regional,5025,379,0.024876,0.020225,0.029839,0.024604,0.019593,0.030125
surname_title,5025,379,0.004378,0.002586,0.006442,0.004279,0.002506,0.006364
upper_caste,5025,379,0.000398,0.000000,0.001013,0.000303,0.000000,0.000782
