label,count
Places in KA,48
Udupi cuisine,10
Kodava / Coorg,6
Brahmin (general),4
Iyengar (Tamil Brahmin),3
Gowda (often Vokkaliga),2
Other languages,2
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),1
Naidu,1
Bhat/Bhatt,1
Jain,1
Rao,1
Naik/Nayak,1
