label,count
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),29
Gupta,27
Agarwal/Agrawal,7
Other languages,6
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,4
Jain,1
