label,count
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),22
Gupta,11
UP/Bihar Brahmin surnames (Mishra/Tiwari/Pandey/...),2
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,1
Brahmin (general),1
Other languages,1
Jain,1
Agarwal/Agrawal,1
