group,n,n_points,p_unweighted,ci_low,ci_high,p_weighted,w_ci_low,w_ci_high
any,4009,347,0.044400,0.038041,0.050800,0.041509,0.034354,0.049144
merchant_community,4009,347,0.014218,0.010836,0.017713,0.014718,0.009824,0.020434
regional,4009,347,0.014717,0.010737,0.018877,0.012458,0.008910,0.015957
surname_title,4009,347,0.015465,0.011771,0.019321,0.014334,0.010417,0.018747
