group,n,n_points,p_unweighted,ci_low,ci_high,p_weighted,w_ci_low,w_ci_high
any,1771,238,0.032750,0.023974,0.042659,0.029116,0.019375,0.040172
merchant_community,1771,238,0.009599,0.004881,0.014722,0.007719,0.003858,0.012028
regional,1771,238,0.005647,0.001725,0.010451,0.003463,0.001147,0.006124
surname_title,1771,238,0.017504,0.011596,0.024497,0.017935,0.010218,0.027866
