group,count,n,p,ci_low,ci_high
regional,145,2175,0.066667,0.056929,0.077933
surname_title,20,2175,0.009195,0.005960,0.014161
upper_caste,14,2175,0.006437,0.003838,0.010776
merchant_community,5,2175,0.002299,0.000982,0.005370
