label,count
Chettinad cuisine,63
Other languages,59
Tamil caste surnames (Pillai/Mudaliar/Nadar/Gounder/Thevar/Naicker/Pandian),12
Naidu,5
Udupi cuisine,4
Gupta,4
Chettiar (Tamil merchant),3
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,3
Rao,1
Iyer (Tamil Brahmin),1
Kodava / Coorg,1
Iyengar (Tamil Brahmin),1
Jain,1
Agarwal/Agrawal,1
