label,count
Other languages,49
Udupi cuisine,38
Gowda (often Vokkaliga),27
Naidu,8
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,8
Places in KA,6
Brahmin (general),4
Reddy,4
Rao,4
Naik/Nayak,3
Chettinad cuisine,3
Iyengar (Tamil Brahmin),3
Kodava / Coorg,3
Shetty (often Bunt),3
Jain,2
Chettiar (Tamil merchant),2
Bengali Kayastha/Baidya surnames (Bose/Sen/Mitra/Dutta),2
Gupta,2
UP/Bihar Brahmin surnames (Mishra/Tiwari/Pandey/...),1
Bhat/Bhatt,1
Mangalorean / Tulu Nadu,1
Marwari,1
Madhva / Dvaita (Brahmin),1
Kamath,1
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),1
Tamil caste surnames (Pillai/Mudaliar/Nadar/Gounder/Thevar/Naicker/Pandian),1
