group,count,n,p,ci_low,ci_high
regional,34,4962,0.006852,0.004908,0.009560
merchant_community,23,4962,0.004635,0.003091,0.006946
upper_caste,7,4962,0.001411,0.000684,0.002909
surname_title,7,4962,0.001411,0.000684,0.002909
