region,group,n,flagged,confirmed,fp_rate,p,ci_low,ci_high
blr,merchant_community,7770,8,8,0.0,0.001030,0.000522,0.002031
blr,regional,7770,227,216,0.0485,0.027799,0.024371,0.031695
blr,surname_title,7770,82,82,0.0,0.010553,0.008511,0.013080
blr,upper_caste,7770,31,31,0.0,0.003990,0.002812,0.005657
blr,fn_rate_sampled,500,500,1,,0.002000,0.000353,0.011241
blr,any_coded_corrected,7770,,336,,0.045154,,
maa,merchant_community,4962,23,23,0.0,0.004635,0.003091,0.006946
maa,regional,4962,34,30,0.1176,0.006046,0.004238,0.008618
maa,surname_title,4962,7,7,0.0,0.001411,0.000684,0.002909
maa,upper_caste,4962,7,7,0.0,0.001411,0.000684,0.002909
maa,fn_rate_sampled,500,500,10,,0.020000,0.010899,0.036421
maa,any_coded_corrected,4962,,67,,0.033216,,
mys,merchant_community,2175,5,5,0.0,0.002299,0.000982,0.005370
mys,regional,2175,141,93,0.3404,0.042759,0.035032,0.052098
mys,surname_title,2175,16,16,0.0,0.007356,0.004533,0.011917
mys,upper_caste,2175,14,14,0.0,0.006437,0.003838,0.010776
mys,fn_rate_sampled,500,500,6,,0.012000,0.005511,0.025931
mys,any_coded_corrected,2175,,125,,0.068522,,
