group,count,n,p,ci_low,ci_high
regional,141,2175,0.064828,0.055228,0.075962
surname_title,16,2175,0.007356,0.004533,0.011917
upper_caste,14,2175,0.006437,0.003838,0.010776
merchant_community,5,2175,0.002299,0.000982,0.005370
