group,n,n_points,p_unweighted,ci_low,ci_high,p_weighted,w_ci_low,w_ci_high
any,3447,298,0.050189,0.042473,0.058486,0.050852,0.041885,0.061145
merchant_community,3447,298,0.002031,0.000606,0.003564,0.002232,0.000658,0.003991
regional,3447,298,0.028140,0.022360,0.034519,0.029607,0.022886,0.036903
surname_title,3447,298,0.018277,0.014073,0.022803,0.017675,0.013114,0.022920
upper_caste,3447,298,0.002321,0.000873,0.004000,0.001820,0.000672,0.003164
