label,count
Other languages,58
Gupta,33
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),21
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,20
UP/Bihar Brahmin surnames (Mishra/Tiwari/Pandey/...),18
Agarwal/Agrawal,14
Jain,9
Bengali Brahmin surnames (Chatterjee/Banerjee/Mukherjee/...),4
Rao,2
Bengali Kayastha/Baidya surnames (Bose/Sen/Mitra/Dutta),2
Udupi cuisine,2
Reddy,1
Marwari,1
