group,count,n,p,ci_low,ci_high
regional,127,5025,0.025274,0.021283,0.029989
surname_title,22,5025,0.004378,0.002893,0.006620
merchant_community,9,5025,0.001791,0.000943,0.003401
upper_caste,2,5025,0.000398,0.000109,0.001450
