group,n,n_points,p_unweighted,ci_low,ci_high,p_weighted,w_ci_low,w_ci_high
any,904,153,0.076327,0.059459,0.095460,0.064350,0.044200,0.091283
merchant_community,904,153,0.001106,0.000000,0.003550,0.000429,0.000000,0.001430
regional,904,153,0.061947,0.046804,0.078740,0.047921,0.032710,0.069075
surname_title,904,153,0.007743,0.002591,0.013746,0.006420,0.001958,0.012680
upper_caste,904,153,0.007743,0.002404,0.013699,0.010666,0.002409,0.022666
