group,n,n_points,p_unweighted,ci_low,ci_high,p_weighted,w_ci_low,w_ci_high
any,3768,349,0.024151,0.018816,0.029577,0.028096,0.020797,0.036440
merchant_community,3768,349,0.009289,0.006158,0.012440,0.011082,0.006468,0.017070
regional,3768,349,0.004777,0.002446,0.007541,0.005705,0.002200,0.010331
surname_title,3768,349,0.010350,0.007237,0.013904,0.011503,0.007599,0.016049
