label,count
Other languages,55
Udupi cuisine,38
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),30
Gupta,29
Gowda (often Vokkaliga),27
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,12
Naidu,8
Agarwal/Agrawal,7
Places in KA,6
Brahmin (general),4
Reddy,4
Rao,4
Naik/Nayak,3
Jain,3
Chettinad cuisine,3
Iyengar (Tamil Brahmin),3
Kodava / Coorg,3
Shetty (often Bunt),3
Chettiar (Tamil merchant),2
Bhat/Bhatt,1
Mangalorean / Tulu Nadu,1
Marwari,1
Madhva / Dvaita (Brahmin),1
Kamath,1
Tamil caste surnames (Pillai/Mudaliar/Nadar/Gounder/Thevar/Naicker/Pandian),1
