group,count,n,p,ci_low,ci_high
regional,127,5025,0.025274,0.021283,0.029989
surname_title,21,5025,0.004179,0.002735,0.006381
merchant_community,9,5025,0.001791,0.000943,0.003401
upper_caste,2,5025,0.000398,0.000109,0.001450
