group,count,n,p,ci_low,ci_high
regional,106,5302,0.019992,0.016558,0.024122
surname_title,94,5302,0.017729,0.014510,0.021646
merchant_community,42,5302,0.007922,0.005866,0.010690
upper_caste,8,5302,0.001509,0.000765,0.002975
