group,count,n,p,ci_low,ci_high
regional,298,7770,0.038353,0.034306,0.042856
surname_title,87,7770,0.011197,0.009087,0.013790
upper_caste,31,7770,0.003990,0.002812,0.005657
merchant_community,10,7770,0.001287,0.000699,0.002368
