group,n,n_points,p_unweighted,ci_low,ci_high,p_weighted,w_ci_low,w_ci_high
any,940,167,0.041489,0.028398,0.056980,0.049545,0.031880,0.070402
merchant_community,940,167,0.013830,0.006390,0.022951,0.017278,0.006650,0.030974
regional,940,167,0.001064,0.000000,0.003484,0.000633,0.000000,0.002139
surname_title,940,167,0.025532,0.015152,0.038462,0.031240,0.017699,0.049222
upper_caste,940,167,0.001064,0.000000,0.003546,0.000394,0.000000,0.001327
