label,count
Udupi cuisine,132
Other languages,131
Gowda (often Vokkaliga),27
Brahmin (general),22
Reddy,18
Places in KA,16
Naidu,12
Kodava / Coorg,10
Kamath,8
Chettinad cuisine,7
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,5
Iyer (Tamil Brahmin),5
Naik/Nayak,4
Agarwal/Agrawal,3
Rao,3
Mangalorean / Tulu Nadu,3
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),3
Gupta,3
Pai,3
Shetty (often Bunt),2
Chettiar (Tamil merchant),2
Iyengar (Tamil Brahmin),2
Tamil caste surnames (Pillai/Mudaliar/Nadar/Gounder/Thevar/Naicker/Pandian),2
Marwari,1
Gaud Saraswat / GSB,1
Jain,1
Havyaka (Brahmin),1
