group,n,n_points,p_unweighted,ci_low,ci_high,p_weighted,w_ci_low,w_ci_high
any,1771,238,0.036702,0.027141,0.047305,0.032354,0.021973,0.044277
merchant_community,1771,238,0.009599,0.004881,0.014722,0.007719,0.003858,0.012028
regional,1771,238,0.005647,0.001725,0.010451,0.003463,0.001147,0.006124
surname_title,1771,238,0.021457,0.014525,0.029282,0.021172,0.012575,0.031455
