label,count
Other languages,58
Chettinad cuisine,50
Gupta,15
Tamil caste surnames (Pillai/Mudaliar/Nadar/Gounder/Thevar/Naicker/Pandian),13
Jain,8
Iyer (Tamil Brahmin),7
Udupi cuisine,5
Naidu,4
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),3
Reddy,1
Bhat/Bhatt,1
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,1
