label,count
Gupta,31
Other languages,16
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),10
UP/Bihar Brahmin surnames (Mishra/Tiwari/Pandey/...),9
Bengali Kayastha/Baidya surnames (Bose/Sen/Mitra/Dutta),8
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,7
Bengali Brahmin surnames (Chatterjee/Banerjee/Mukherjee/...),5
Udupi cuisine,2
Agarwal/Agrawal,2
Marwari,1
Jain,1
Naik/Nayak,1
Rao,1
