group,count,n,p,ci_low,ci_high
regional,556,14907,0.037298,0.034373,0.040461
surname_title,130,14907,0.008721,0.007350,0.010345
upper_caste,52,14907,0.003488,0.002661,0.004571
merchant_community,38,14907,0.002549,0.001858,0.003497
