place_id,name,source,lang,cell_idx,query_center_lat,query_center_lon,lat,lon,page,region_id,region_name,collected_at
ChIJ6zzTLwAbDTkRqkWLIqFp-0E,The Ten Rings (Cloud Kitchen),places,en,0,28.592738699999998,77.0706194,28.592263199999998,77.0711151,0,del,Delhi,2026-09-01T02:57:51.302711Z
ChIJ_ZWMatIbDTkRsKBLuzgK0-o,Delicious Corner,places,en,0,28.592738699999998,77.0706194,28.591435599999997,77.0712523,0,del,Delhi,2026-09-01T02:57:51.302726Z
ChIJ5R3og8cbDTkRAwDBfSNgu8Y,Buy fast food,places,en,0,28.592738699999998,77.0706194,28.594056899999998,77.0716956,0,del,Delhi,2026-09-01T02:57:51.302729Z
ChIJJ-Ny_KwbDTkRAu09LDQmS8Q,The Pizza Zone,places,en,0,28.592738699999998,77.0706194,28.5911476,77.07210599999999,0,del,Delhi,2026-09-01T02:57:51.302731Z
ChIJi9IB-YEbDTkRq_WJt0x5Lr4,Ice Pice,places,en,0,28.592738699999998,77.0706194,28.5943841,77.0691897,0,del,Delhi,2026-09-01T02:57:51.302733Z
ChIJCTPivnkbDTkRFGaxxVVbrlU,Virendra,places,en,0,28.592738699999998,77.0706194,28.594932999999997,77.0709703,0,del,Delhi,2026-09-01T02:57:51.302734Z
ChIJKXgv8zobDTkRdb8XWYtjqqU,Yadav-Rathee Samosa spot,places,en,0,28.592738699999998,77.0706194,28.5910948,77.06870219999999,0,del,Delhi,2026-09-01T02:57:51.302736Z
ChIJkbjoLQAbDTkRuxjAgiJZFqo,Sharma momos point,places,en,0,28.592738699999998,77.0706194,28.5953128,77.0704627,0,del,Delhi,2026-09-01T02:57:51.302737Z
ChIJMQh8CZEbDTkRXs2y_ZaJZSs,LCBW CHOLE BATURE,places,en,0,28.592738699999998,77.0706194,28.595407899999998,77.0705808,0,del,Delhi,2026-09-01T02:57:51.302738Z
ChIJW9HYIr0bDTkRpC0rARbZbbo,Hansika Fast Food Corner,places,en,1,28.59761455,77.0283027,28.597143199999998,77.0277978,0,del,Delhi,2026-09-01T02:57:51.655710Z
ChIJ1_x8KdcbDTkRWKFGbLYlrUo,khao biryani,places,en,1,28.59761455,77.0283027,28.597136799999998,77.0277977,0,del,Delhi,2026-09-01T02:57:51.655729Z
ChIJQYt018UbDTkRvBQ0s0bIsVI,Biryani King,places,en,1,28.59761455,77.0283027,28.5980484,77.0254942,0,del,Delhi,2026-09-01T02:57:51.655733Z
ChIJ6VzuzEobDTkRv2Yk7R7c8FM,AMARASA,places,en,2,28.5920249,77.0742518,28.592055199999997,77.0738075,0,del,Delhi,2026-09-01T02:57:52.072238Z
ChIJIZ561t4bDTkRbfyP2wxN9CQ,Artezzo Pizzeria&Trattoria,places,en,2,28.5920249,77.0742518,28.592072299999998,77.0738035,0,del,Delhi,2026-09-01T02:57:52.072259Z
ChIJ12dgMgAbDTkRAVIBsenxFu8,Shree Krishna Kachori,places,en,2,28.5920249,77.0742518,28.593292599999998,77.07459349999999,0,del,Delhi,2026-09-01T02:57:52.072264Z
ChIJKev-w6kbDTkRMtU0FqgAeco,Aunty's Dosa Point,places,en,2,28.5920249,77.0742518,28.593481099999998,77.07520389999999,0,del,Delhi,2026-09-01T02:57:52.072267Z
ChIJq2apJQAbDTkReBZAWF1u_nk,Sonu fast food,places,en,2,28.5920249,77.0742518,28.590421799999998,77.07559580000002,0,del,Delhi,2026-09-01T02:57:52.072270Z
ChIJxVgmPDkbDTkRk5uIl2bRblc,Monu pishori chicken,places,en,2,28.5920249,77.0742518,28.5937567,77.0755288,0,del,Delhi,2026-09-01T02:57:52.072273Z
ChIJGdNuQ2MbDTkRyyl3EMVon84,Taste Of Punjab,places,en,2,28.5920249,77.0742518,28.5899321,77.0753144,0,del,Delhi,2026-09-01T02:57:52.072283Z
ChIJXyrmVL4bDTkRbVD83UmIJmY,Dil se Bombay,places,en,2,28.5920249,77.0742518,28.5902863,77.0724854,0,del,Delhi,2026-09-01T02:57:52.072286Z
