label,count
North/West caste surnames (Yadav/Thakur/Khatri/Patel/Patil),29
Gupta,27
UP/Bihar Brahmin surnames (Mishra/Tiwari/Pandey/...),23
Agarwal/Agrawal,7
Other languages,6
Kayastha surnames (Srivastava/Saxena),5
Acharya/Jois/Sharma/Murthy/Sastry/Kulkarni/Joshi/Dixit,4
Jain,1
